NORDENTRANS;CODENCUEST;ANO;MES;RESULTA;FECRESULTA;ENVIO;TIPOREGIST;SGSPRIGRAB;SGSTOTDEPU;NUMACCDEPU;SWGESTORIA;CODTAME
302002734SS;S;2015;4;6;05/05/2015;41502;W;0;7;1;0;11
302002734SS;S;2015;5;6;25/06/2015;51502;W;0;44;2;0;11
302002734SS;S;2015;6;6;20/07/2015;61502;W;0;26;2;0;11
302002734SS;S;2015;7;6;13/08/2015;71502;W;0;5;1;0;11
302002734SS;S;2015;8;6;07/09/2015;81502;W;0;9;1;0;11
302002734SS;S;2015;9;6;05/10/2015;91502;W;0;7;1;0;11
302002734SS;S;2015;10;6;04/11/2015;101502;W;0;8;1;0;11
302002734SS;S;2015;11;6;09/12/2015;111502;W;0;7;1;0;11
302002734SS;S;2015;12;6;11/01/2016;121502;W;0;7;1;0;11
343002784MM;M;2015;6;3;07/09/2015;81502;;0;0;0;0;0
343002784MM;M;2015;5;3;04/06/2015;51502;;0;0;0;0;0
343002784MM;M;2015;7;3;13/10/2015;91502;;0;0;0;0;0
343002784MM;M;2015;8;3;13/10/2015;91502;;0;0;0;0;0
343002784MM;M;2015;9;3;15/10/2015;91502;;0;0;0;0;0
343002784MM;M;2015;10;3;11/01/2016;121502;;0;0;0;0;0
343002784MM;M;2015;11;3;11/01/2016;121502;;0;0;0;0;0
343002784MM;M;2015;12;3;11/01/2016;121502;;0;0;0;0;0
343002784MM;M;2015;4;4;28/04/2016;;;0;0;0;0;0
387002747MM;M;2015;1;6;05/02/2015;11502;W;0;20;1;1;14
387002747MM;M;2015;2;6;05/03/2015;21502;W;0;15;1;1;14
387002747MM;M;2015;3;6;06/04/2015;31502;W;0;14;1;1;14
387002747MM;M;2015;4;6;07/05/2015;41502;W;0;24;1;1;14
387002747MM;M;2015;5;6;05/06/2015;51502;W;0;25;2;1;14
387002747MM;M;2015;6;6;06/07/2015;61502;W;0;13;1;1;14
387002747MM;M;2015;7;6;12/08/2015;71502;W;0;39;1;1;14
387002747MM;M;2015;8;6;07/09/2015;81502;W;0;57;1;1;14
387002747MM;M;2015;9;6;07/10/2015;91502;W;0;25;1;1;14
387002747MM;M;2015;10;6;09/11/2015;101502;W;0;25;1;1;14
387002747MM;M;2015;11;6;05/12/2015;111502;W;0;19;1;1;14
387002747MM;M;2015;12;6;11/01/2016;121502;W;0;27;1;1;14
381002751MM;M;2015;6;5;14/07/2015;61502;;0;0;0;0;11
381002751MM;M;2015;7;6;22/10/2015;101502;W;0;12;2;0;11
381002751MM;M;2015;8;6;22/10/2015;101502;W;0;51;3;0;11
381002751MM;M;2015;9;6;20/10/2015;101502;T;17;135;12;0;11
381002751MM;M;2015;10;6;10/11/2015;101502;W;0;18;1;0;11
381002751MM;M;2015;11;6;09/12/2015;111502;W;0;12;1;0;11
381002751MM;M;2015;12;6;01/02/2016;11602;W;0;9;1;0;11
303012020SS;S;2015;1;6;24/02/2015;11502;W;0;24;1;1;11
303012020SS;S;2015;2;6;25/03/2015;21502;W;0;17;1;1;11
303012020SS;S;2015;3;6;24/04/2015;31502;W;0;21;1;1;11
303012020SS;S;2015;4;6;25/05/2015;41502;W;0;14;1;1;11
303012020SS;S;2015;5;6;25/06/2015;51502;W;0;44;1;1;11
303012020SS;S;2015;6;6;22/07/2015;61502;W;0;27;1;1;11
303012020SS;S;2015;7;6;24/08/2015;71502;W;0;33;1;1;11
303012020SS;S;2015;8;6;23/09/2015;81502;W;0;25;1;1;11
303012020SS;S;2015;9;6;26/10/2015;91502;W;0;31;1;1;11
303012020SS;S;2015;10;6;23/11/2015;101502;W;0;57;1;1;11
303012020SS;S;2015;11;6;18/12/2015;111502;W;0;26;1;1;11
303012020SS;S;2015;12;6;01/02/2016;11602;W;0;5;1;1;11
363012212SS;S;2015;9;6;13/01/2016;121502;T;24;9;1;0;14
363012212SS;S;2015;10;6;24/11/2015;101502;W;0;15;1;0;14
363012212SS;S;2015;11;6;14/12/2015;111502;W;0;6;2;0;14
363012212SS;S;2015;12;6;22/01/2016;121502;W;0;6;1;0;14
373012296SS;S;2015;1;6;12/02/2015;11502;W;0;65;2;0;0
373012296SS;S;2015;2;6;12/03/2015;21502;W;0;10;1;0;0
373012296SS;S;2015;3;6;06/04/2015;31502;W;0;22;1;0;0
373012296SS;S;2015;4;6;19/05/2015;41502;W;0;47;2;0;0
373012296SS;S;2015;5;6;23/06/2015;51502;W;0;43;2;0;0
373012296SS;S;2015;6;6;20/07/2015;61502;W;0;20;2;0;0
373012296SS;S;2015;7;6;24/08/2015;71502;W;0;18;1;0;0
373012296SS;S;2015;9;6;07/10/2015;91502;W;0;10;1;0;0
373012296SS;S;2015;10;6;03/11/2015;101502;W;0;13;1;0;0
373012296SS;S;2015;11;6;17/12/2015;111502;W;0;32;2;0;0
373012296SS;S;2015;12;6;19/01/2016;121502;W;0;39;2;0;0
373012296SS;S;2015;8;10;07/09/2015;81502;;0;21;2;0;0
388012212SS;S;2015;1;6;13/02/2015;11502;W;0;32;1;0;16
388012212SS;S;2015;2;6;09/03/2015;21502;W;0;9;1;0;16
388012212SS;S;2015;3;6;13/04/2015;31502;W;0;37;1;0;16
388012212SS;S;2015;4;6;07/05/2015;41502;W;0;13;1;0;16
388012212SS;S;2015;5;6;08/06/2015;51502;W;0;9;1;0;16
388012212SS;S;2015;6;6;09/07/2015;61502;W;0;4;1;0;16
388012212SS;S;2015;7;6;18/08/2015;71502;W;0;5;1;0;16
388012212SS;S;2015;8;6;07/09/2015;81502;W;0;16;1;0;16
388012212SS;S;2015;9;6;13/10/2015;91502;W;0;7;1;0;16
388012212SS;S;2015;10;6;10/11/2015;101502;W;0;8;1;0;16
388012212SS;S;2015;11;6;10/12/2015;111502;W;0;9;1;0;16
388012212SS;S;2015;12;6;12/01/2016;121502;W;0;6;1;0;16
382012220MM;M;2015;1;6;06/02/2015;11502;W;0;14;1;1;14
382012220MM;M;2015;2;6;05/03/2015;21502;W;0;48;3;1;14
382012220MM;M;2015;3;6;07/04/2015;31502;W;0;101;3;1;14
382012220MM;M;2015;4;6;07/05/2015;41502;W;0;11;1;1;14
382012220MM;M;2015;5;6;04/06/2015;51502;W;0;14;1;1;14
382012220MM;M;2015;6;6;06/07/2015;61502;W;0;19;1;1;14
382012220MM;M;2015;7;6;07/08/2015;71502;W;0;9;1;1;14
382012220MM;M;2015;8;6;08/09/2015;81502;W;0;14;1;1;14
382012220MM;M;2015;9;6;07/10/2015;91502;W;0;22;1;1;14
382012220MM;M;2015;10;6;05/11/2015;101502;W;0;23;1;1;14
382012220MM;M;2015;11;6;03/12/2015;111502;W;0;13;1;1;14
382012220MM;M;2015;12;6;11/01/2016;121502;W;0;12;1;1;14
393012217MM;M;2015;1;6;05/02/2015;11502;T;33;81;1;0;0
393012217MM;M;2015;2;6;06/03/2015;21502;T;24;45;2;0;0
393012217MM;M;2015;3;6;08/04/2015;31502;T;33;6;1;0;0
393012217MM;M;2015;4;6;18/05/2015;41502;T;25;71;3;0;0
393012217MM;M;2015;5;6;16/06/2015;51502;T;26;13;2;0;0
393012217MM;M;2015;6;6;06/07/2015;61502;T;28;9;1;0;0
393012217MM;M;2015;7;6;13/08/2015;71502;T;17;39;2;0;0
393012217MM;M;2015;8;6;07/09/2015;81502;T;22;59;1;0;0
393012217MM;M;2015;9;6;06/10/2015;91502;T;97;36;1;0;0
393012217MM;M;2015;10;6;04/11/2015;101502;T;129;30;1;0;0
393012217MM;M;2015;11;6;04/12/2015;111502;T;19;45;1;0;0
393012217MM;M;2015;12;6;12/01/2016;121502;T;54;24;1;0;0
348012379MM;M;2015;1;6;18/02/2015;11502;W;0;14;1;1;0
348012379MM;M;2015;2;6;05/03/2015;21502;W;0;40;1;1;0
348012379MM;M;2015;3;6;06/04/2015;31502;W;0;16;1;1;0
348012379MM;M;2015;4;6;13/05/2015;41502;W;0;17;1;1;0
348012379MM;M;2015;5;6;15/06/2015;51502;W;0;22;2;1;0
348012379MM;M;2015;6;6;15/07/2015;61502;W;0;13;1;1;0
348012379MM;M;2015;7;6;12/08/2015;71502;W;0;10;1;1;0
348012379MM;M;2015;8;6;14/09/2015;81502;W;0;15;1;1;0
348012379MM;M;2015;9;6;19/10/2015;91502;W;0;8;1;1;0
348012379MM;M;2015;10;6;09/11/2015;101502;W;0;17;1;1;0
348012379MM;M;2015;11;6;16/12/2015;111502;W;0;11;1;1;0
348012379MM;M;2015;12;6;11/01/2016;121502;W;0;28;1;1;0
348012381MM;M;2015;1;6;04/06/2015;51502;T;19;17;1;0;0
348012381MM;M;2015;2;6;04/06/2015;51502;T;21;75;1;0;0
348012381MM;M;2015;3;6;05/05/2015;41502;T;20;19;1;0;0
348012381MM;M;2015;4;6;08/05/2015;41502;T;29;28;1;0;0
348012381MM;M;2015;5;6;17/06/2015;51502;T;20;53;1;0;0
348012381MM;M;2015;6;6;22/09/2015;91502;T;31;22;1;0;0
348012381MM;M;2015;7;6;08/09/2015;81502;T;21;11;1;0;0
348012381MM;M;2015;8;6;08/09/2015;81502;T;23;27;2;0;0
348012381MM;M;2015;9;6;13/10/2015;91502;T;17;31;1;0;0
348012381MM;M;2015;10;6;09/11/2015;101502;T;16;19;1;0;0
348012381MM;M;2015;11;6;10/12/2015;111502;T;18;9;1;0;0
348012381MM;M;2015;12;6;13/01/2016;121502;T;17;12;1;0;0
348012385MM;M;2015;1;6;17/02/2015;11502;T;20;13;1;1;0
348012385MM;M;2015;2;6;18/03/2015;21502;T;19;56;1;1;0
348012385MM;M;2015;3;6;20/04/2015;31502;T;33;21;1;1;0
348012385MM;M;2015;4;6;14/05/2015;41502;T;18;47;1;1;0
348012385MM;M;2015;5;6;18/06/2015;51502;T;20;16;1;1;0
348012385MM;M;2015;6;6;14/07/2015;61502;T;27;63;1;1;0
348012385MM;M;2015;7;6;12/08/2015;71502;T;23;14;1;1;0
348012385MM;M;2015;8;6;17/09/2015;81502;T;25;16;1;1;0
348012385MM;M;2015;9;6;08/10/2015;91502;T;39;14;1;1;0
348012385MM;M;2015;10;6;10/11/2015;101502;T;52;20;1;1;0
348012385MM;M;2015;11;6;14/12/2015;111502;T;38;10;2;1;0
348012385MM;M;2015;12;6;15/01/2016;121502;T;36;9;1;1;0
341012390MM;M;2015;1;6;04/02/2015;11502;W;0;51;1;1;11
341012390MM;M;2015;2;6;02/03/2015;21502;W;0;25;1;1;11
341012390MM;M;2015;3;6;06/04/2015;31502;W;0;15;1;1;11
341012390MM;M;2015;4;6;04/05/2015;41502;W;0;50;1;1;11
341012390MM;M;2015;5;6;04/06/2015;51502;W;0;36;1;1;11
341012390MM;M;2015;6;6;02/07/2015;61502;W;0;47;1;1;11
341012390MM;M;2015;7;6;04/08/2015;71502;W;0;9;1;1;11
341012390MM;M;2015;8;6;04/09/2015;81502;W;0;44;1;1;11
341012390MM;M;2015;9;6;07/10/2015;91502;W;0;12;1;1;11
341012390MM;M;2015;10;6;03/11/2015;101502;W;0;45;3;1;11
341012390MM;M;2015;11;6;02/12/2015;111502;W;0;21;1;1;11
341012390MM;M;2015;12;6;11/01/2016;121502;W;0;16;1;1;11
345012390MM;M;2015;3;6;15/04/2015;31502;T;18;440;1;0;0
345012390MM;M;2015;4;6;12/05/2015;41502;T;20;10;1;0;0
345012390MM;M;2015;5;6;16/06/2015;51502;T;16;51;1;0;0
345012390MM;M;2015;6;6;14/07/2015;61502;T;21;9;1;0;0
345012390MM;M;2015;7;6;12/08/2015;71502;T;16;27;1;0;0
345012390MM;M;2015;8;6;17/09/2015;81502;T;22;14;1;0;0
345012390MM;M;2015;9;6;08/10/2015;91502;T;18;11;1;0;0
345012390MM;M;2015;10;6;12/11/2015;101502;T;22;47;1;0;0
345012390MM;M;2015;11;6;10/12/2015;111502;T;16;11;1;0;0
345012390MM;M;2015;12;6;14/01/2016;121502;T;21;16;1;0;0
345012390MM;M;2015;1;10;09/02/2015;11502;;0;0;0;0;0
345012390MM;M;2015;2;10;09/03/2015;21502;;0;0;0;0;0
340012392MM;M;2015;5;6;10/06/2015;51502;T;18;33;1;0;0
340012392MM;M;2015;6;6;14/07/2015;61502;T;19;30;2;0;0
340012392MM;M;2015;7;6;12/08/2015;71502;T;17;41;1;0;0
340012392MM;M;2015;8;6;09/11/2015;101502;O;68;15;1;0;0
340012392MM;M;2015;9;6;14/10/2015;91502;T;76;10;1;0;0
340012392MM;M;2015;10;6;09/11/2015;101502;T;67;11;1;0;0
340012392MM;M;2015;11;6;13/01/2016;121502;T;57;10;1;0;0
340012392MM;M;2015;12;6;13/01/2016;121502;T;46;10;1;0;0
345012395MM;M;2015;1;6;17/02/2015;11502;T;16;34;1;0;0
345012395MM;M;2015;2;6;12/03/2015;21502;T;27;135;1;0;0
345012395MM;M;2015;3;6;17/04/2015;31502;T;23;41;1;0;0
345012395MM;M;2015;4;6;18/05/2015;41502;T;27;27;1;0;0
345012395MM;M;2015;5;6;16/06/2015;51502;T;14;43;1;0;0
345012395MM;M;2015;6;6;14/07/2015;61502;T;16;30;1;0;0
345012395MM;M;2015;7;6;17/08/2015;71502;T;18;32;2;0;0
345012395MM;M;2015;9;6;30/10/2015;101502;T;18;8;2;0;0
345012395MM;M;2015;10;6;05/11/2015;101502;T;244;11;1;0;0
345012395MM;M;2015;11;6;15/12/2015;111502;T;40;10;1;0;0
345012395MM;M;2015;12;6;13/01/2016;121502;T;55;16;1;0;0
345012395MM;M;2015;8;10;09/12/2015;111502;;0;0;0;0;0
347012396MM;M;2015;1;6;13/02/2015;11502;W;0;17;1;1;11
347012396MM;M;2015;2;6;11/03/2015;21502;W;0;13;1;1;11
347012396MM;M;2015;3;6;16/04/2015;31502;W;0;10;1;1;11
347012396MM;M;2015;4;6;18/05/2015;41502;W;0;12;1;1;11
347012396MM;M;2015;5;6;15/06/2015;51502;W;0;16;1;1;11
347012396MM;M;2015;6;6;14/07/2015;61502;W;0;10;1;1;11
347012396MM;M;2015;7;6;14/08/2015;71502;W;0;11;1;1;11
347012396MM;M;2015;8;6;07/09/2015;81502;W;0;16;1;1;11
347012396MM;M;2015;9;6;15/10/2015;91502;W;0;9;1;1;11
347012396MM;M;2015;10;6;16/11/2015;101502;W;0;22;1;1;11
347012396MM;M;2015;11;6;10/12/2015;111502;W;0;30;1;1;11
347012396MM;M;2015;12;6;15/01/2016;121502;W;0;13;1;1;11
340012398MM;M;2015;1;6;17/02/2015;11502;T;18;18;1;1;11
340012398MM;M;2015;2;6;18/03/2015;21502;T;19;79;1;1;11
340012398MM;M;2015;3;6;20/04/2015;31502;T;20;37;1;1;11
340012398MM;M;2015;4;6;14/05/2015;41502;T;20;139;1;1;11
340012398MM;M;2015;5;6;18/06/2015;51502;T;18;66;1;1;11
340012398MM;M;2015;6;6;14/07/2015;61502;T;20;17;1;1;11
340012398MM;M;2015;7;6;12/08/2015;71502;T;22;30;1;1;11
340012398MM;M;2015;8;6;17/09/2015;81502;T;25;22;1;1;11
340012398MM;M;2015;9;6;08/10/2015;91502;T;31;38;2;1;11
340012398MM;M;2015;10;6;11/11/2015;101502;T;61;19;1;1;11
340012398MM;M;2015;11;6;14/12/2015;111502;T;44;9;1;1;11
340012398MM;M;2015;12;6;15/01/2016;121502;T;33;9;1;1;11
342012399MM;M;2015;1;10;05/02/2015;11502;;0;0;0;0;0
342012399MM;M;2015;2;10;26/02/2015;21502;;0;0;0;0;0
342012399MM;M;2015;3;10;26/02/2015;31502;;0;0;0;0;0
342012399MM;M;2015;4;10;26/02/2015;41502;;0;0;0;0;0
342012399MM;M;2015;5;10;26/02/2015;51502;;0;0;0;0;0
342012399MM;M;2015;6;10;26/02/2015;61502;;0;0;0;0;0
342012399MM;M;2015;7;10;26/02/2015;71502;;0;0;0;0;0
342012399MM;M;2015;8;10;26/02/2015;81502;;0;0;0;0;0
342012399MM;M;2015;9;10;26/02/2015;91502;;0;0;0;0;0
342012399MM;M;2015;10;10;29/09/2015;101502;;0;0;0;0;0
342012399MM;M;2015;11;10;30/11/2015;111502;;0;0;0;0;0
342012399MM;M;2015;12;10;30/11/2015;121502;;0;0;0;0;0
358012301MM;M;2015;1;6;06/02/2015;11502;T;38;39;1;0;0
358012301MM;M;2015;2;6;06/03/2015;21502;T;23;94;1;0;0
358012301MM;M;2015;3;6;08/04/2015;31502;T;25;31;1;0;0
358012301MM;M;2015;4;6;08/05/2015;41502;T;20;73;1;0;0
358012301MM;M;2015;5;6;10/06/2015;51502;T;37;42;2;0;0
358012301MM;M;2015;6;6;07/07/2015;61502;T;22;28;1;0;0
358012301MM;M;2015;7;6;17/08/2015;71502;T;62;15;1;0;0
358012301MM;M;2015;8;6;14/09/2015;81502;T;37;99;1;0;0
358012301MM;M;2015;9;6;13/10/2015;91502;T;48;177;1;0;0
358012301MM;M;2015;10;6;05/11/2015;101502;T;25;35;1;0;0
358012301MM;M;2015;11;6;09/12/2015;111502;T;33;198;1;0;0
358012301MM;M;2015;12;6;13/01/2016;121502;T;36;71;1;0;0
338012637MM;M;2015;9;6;09/10/2015;91502;C;21;119;1;0;0
338012637MM;M;2015;10;6;10/11/2015;101502;W;0;45;1;0;0
338012637MM;M;2015;11;6;09/12/2015;111502;W;0;39;1;0;0
338012637MM;M;2015;12;6;11/01/2016;121502;W;0;33;1;0;0
305012799MM;M;2015;1;6;04/02/2015;11502;W;0;67;1;1;0
305012799MM;M;2015;2;6;06/03/2015;21502;W;0;18;1;1;0
305012799MM;M;2015;3;6;16/04/2015;31502;W;0;32;1;1;0
305012799MM;M;2015;4;6;20/05/2015;51502;W;0;35;1;1;0
305012799MM;M;2015;5;6;08/06/2015;51502;W;0;22;1;1;0
305012799MM;M;2015;6;6;14/07/2015;61502;W;0;18;2;1;0
305012799MM;M;2015;7;6;05/08/2015;71502;W;0;8;1;1;0
305012799MM;M;2015;8;6;02/09/2015;81502;W;0;26;1;1;0
305012799MM;M;2015;9;6;15/10/2015;91502;W;0;22;1;1;0
305012799MM;M;2015;10;6;06/11/2015;101502;W;0;35;1;1;0
305012799MM;M;2015;11;6;14/12/2015;111502;W;0;41;1;1;0
305012799MM;M;2015;12;6;05/01/2016;121502;W;0;18;1;1;0
326012749MM;M;2015;1;6;10/02/2015;11502;T;20;64;1;0;11
326012749MM;M;2015;2;6;04/03/2015;21502;T;25;16;1;0;11
326012749MM;M;2015;3;6;08/04/2015;31502;T;22;20;1;0;11
326012749MM;M;2015;4;6;06/05/2015;41502;T;23;53;1;0;11
326012749MM;M;2015;5;6;02/06/2015;51502;T;26;25;1;0;11
326012749MM;M;2015;6;6;07/07/2015;61502;T;26;17;2;0;11
326012749MM;M;2015;7;6;03/09/2015;81502;T;55;15;1;0;11
326012749MM;M;2015;8;6;03/09/2015;81502;T;41;14;1;0;11
326012749MM;M;2015;9;6;01/10/2015;91502;T;24;16;1;0;11
326012749MM;M;2015;10;6;03/11/2015;101502;T;21;10;1;0;11
326012749MM;M;2015;11;6;02/12/2015;111502;T;21;10;1;0;11
326012749MM;M;2015;12;6;15/01/2016;121502;W;0;25;1;0;11
314012943MM;M;2015;1;6;09/02/2015;11502;W;0;51;1;1;12
314012943MM;M;2015;2;6;09/03/2015;21502;W;0;10;1;1;12
314012943MM;M;2015;3;6;08/04/2015;31502;W;0;25;1;1;12
314012943MM;M;2015;4;6;06/05/2015;41502;W;0;21;1;1;12
314012943MM;M;2015;5;6;09/06/2015;51502;W;0;50;3;1;12
314012943MM;M;2015;6;6;07/07/2015;61502;W;0;13;1;1;12
314012943MM;M;2015;7;6;06/08/2015;71502;W;0;18;1;1;12
314012943MM;M;2015;8;6;07/09/2015;81502;W;0;10;1;1;12
314012943MM;M;2015;9;6;09/10/2015;91502;W;0;12;1;1;12
314012943MM;M;2015;10;6;10/11/2015;101502;W;0;15;1;1;12
314012943MM;M;2015;11;6;05/12/2015;111502;W;0;47;1;1;12
314012943MM;M;2015;12;6;11/01/2016;121502;W;0;53;1;1;12
315012944MM;M;2015;1;6;05/02/2015;11502;T;19;88;2;0;12
315012944MM;M;2015;2;6;05/03/2015;21502;T;26;24;2;0;12
315012944MM;M;2015;3;6;07/04/2015;31502;T;21;9;1;0;12
315012944MM;M;2015;4;6;11/05/2015;41502;T;21;101;1;0;12
315012944MM;M;2015;5;6;08/06/2015;51502;T;17;26;2;0;12
315012944MM;M;2015;6;6;06/07/2015;61502;T;18;18;2;0;12
315012944MM;M;2015;7;6;25/08/2015;81502;T;31;16;2;0;12
315012944MM;M;2015;8;6;10/09/2015;81502;T;19;11;1;0;12
315012944MM;M;2015;9;6;13/10/2015;91502;T;23;69;1;0;12
315012944MM;M;2015;10;6;04/11/2015;101502;T;24;65;1;0;12
315012944MM;M;2015;11;6;04/12/2015;111502;T;20;36;1;0;12
315012944MM;M;2015;12;6;13/01/2016;121502;T;44;88;1;0;12
317012979MM;M;2015;1;6;11/02/2015;11502;W;0;12;1;1;11
317012979MM;M;2015;2;6;06/03/2015;21502;W;0;37;1;1;11
317012979MM;M;2015;3;6;13/04/2015;31502;W;0;14;1;1;11
317012979MM;M;2015;4;6;15/05/2015;41502;W;0;46;1;1;11
317012979MM;M;2015;5;6;16/06/2015;51502;W;0;17;1;1;11
317012979MM;M;2015;6;6;15/07/2015;61502;W;0;8;1;1;11
317012979MM;M;2015;7;6;27/08/2015;81502;W;0;15;1;1;11
317012979MM;M;2015;8;6;08/09/2015;81502;W;0;13;1;1;11
317012979MM;M;2015;9;6;14/10/2015;91502;W;0;40;1;1;11
317012979MM;M;2015;10;6;05/11/2015;101502;W;0;11;1;1;11
317012979MM;M;2015;11;6;11/12/2015;111502;W;0;24;1;1;11
317012979MM;M;2015;12;6;11/01/2016;121502;W;0;26;1;1;11
327012998MM;M;2015;4;3;18/05/2015;41502;;0;0;0;0;14
327012998MM;M;2015;3;3;20/04/2015;31502;;0;0;0;0;14
327012998MM;M;2015;1;6;16/02/2015;11502;W;0;48;1;0;14
327012998MM;M;2015;2;6;19/03/2015;31502;W;0;77;1;0;14
327012998MM;M;2015;5;6;19/06/2015;61502;W;0;27;1;0;14
327012998MM;M;2015;6;6;09/07/2015;61502;W;0;27;1;0;14
327012998MM;M;2015;7;6;27/10/2015;101502;E;43;30;1;0;14
327012998MM;M;2015;8;6;27/10/2015;101502;E;49;27;1;0;14
327012998MM;M;2015;9;6;27/10/2015;101502;W;0;29;1;0;14
327012998MM;M;2015;10;6;18/11/2015;101502;O;76;25;1;0;14
327012998MM;M;2015;11;6;17/12/2015;111502;W;0;33;1;0;14
327012998MM;M;2015;12;6;11/01/2016;121502;W;0;24;1;0;14
383012958MM;M;2015;1;6;10/02/2015;11502;W;0;23;2;0;13
383012958MM;M;2015;2;6;06/03/2015;21502;W;0;46;1;0;13
383012958MM;M;2015;3;6;10/04/2015;31502;W;0;10;1;0;13
383012958MM;M;2015;4;6;11/05/2015;41502;W;0;32;1;0;13
383012958MM;M;2015;5;6;04/06/2015;51502;W;0;39;7;0;13
383012958MM;M;2015;6;6;08/07/2015;61502;W;0;7;1;0;13
383012958MM;M;2015;7;6;05/08/2015;71502;W;0;11;1;0;13
383012958MM;M;2015;8;6;07/09/2015;81502;W;0;16;1;0;13
383012958MM;M;2015;9;6;09/10/2015;91502;W;0;11;1;0;13
383012958MM;M;2015;10;6;05/11/2015;101502;W;0;18;1;0;13
383012958MM;M;2015;11;6;05/12/2015;111502;W;0;25;1;0;13
383012958MM;M;2015;12;6;13/01/2016;121502;W;0;12;1;0;13
383012962SS;S;2015;1;6;05/02/2015;11502;W;0;73;1;0;15
383012962SS;S;2015;2;6;05/03/2015;21502;W;0;20;1;0;15
383012962SS;S;2015;3;6;13/04/2015;31502;W;0;3;1;0;15
383012962SS;S;2015;4;6;08/05/2015;41502;W;0;8;1;0;15
383012962SS;S;2015;5;6;10/06/2015;51502;W;0;11;1;0;15
383012962SS;S;2015;6;6;06/07/2015;61502;W;0;20;1;0;15
383012962SS;S;2015;7;6;19/08/2015;71502;W;0;6;1;0;15
383012962SS;S;2015;8;6;07/09/2015;81502;W;0;4;1;0;15
383012962SS;S;2015;9;6;08/10/2015;91502;W;0;8;1;0;15
383012962SS;S;2015;10;6;05/11/2015;101502;W;0;14;1;0;15
383012962SS;S;2015;11;6;05/12/2015;111502;W;0;9;1;0;15
383012962SS;S;2015;12;6;11/01/2016;121502;W;0;14;1;0;15
389012980SS;S;2015;3;6;13/04/2015;31502;W;0;16;1;0;12
389012980SS;S;2015;6;6;06/07/2015;61502;W;0;45;1;0;12
389012980SS;S;2015;9;6;07/10/2015;91502;W;0;6;1;0;12
389012980SS;S;2015;12;6;11/01/2016;121502;W;0;7;1;0;12
389012980SS;S;2015;1;10;12/02/2015;11502;;0;0;0;0;12
389012980SS;S;2015;2;10;27/02/2015;21502;;0;0;0;0;12
389012980SS;S;2015;4;10;29/04/2015;41502;;0;0;0;0;12
389012980SS;S;2015;5;10;29/04/2015;51502;;0;0;0;0;12
389012980SS;S;2015;7;10;29/04/2015;71502;;0;0;0;0;12
389012980SS;S;2015;8;10;29/04/2015;81502;;0;0;0;0;12
389012980SS;S;2015;10;10;29/04/2015;101502;;0;0;0;0;12
389012980SS;S;2015;11;10;29/04/2015;111502;;0;0;0;0;12
398012951SS;S;2015;3;6;16/04/2015;31502;E;15;38;2;1;15
398012951SS;S;2015;6;6;21/07/2015;61502;E;13;16;1;1;15
398012951SS;S;2015;9;6;20/10/2015;91502;E;26;250;2;1;15
398012951SS;S;2015;12;6;28/01/2016;11602;T;147;10;1;1;15
398012951SS;S;2015;1;10;02/02/2015;11502;;0;0;0;1;15
398012951SS;S;2015;2;10;02/02/2015;21502;;0;0;0;1;15
398012951SS;S;2015;4;10;02/02/2015;41502;;0;0;0;1;15
398012951SS;S;2015;5;10;02/02/2015;51502;;0;0;0;1;15
398012951SS;S;2015;7;10;02/02/2015;71502;;0;0;0;1;15
398012951SS;S;2015;8;10;02/02/2015;81502;;0;0;0;1;15
398012951SS;S;2015;10;10;20/11/2015;101502;;0;0;0;1;15
398012951SS;S;2015;11;10;02/02/2015;111502;;0;0;0;1;15
392012962SS;S;2015;9;6;21/10/2015;91502;W;0;49;1;1;14
392012962SS;S;2015;10;6;10/11/2015;101502;W;0;33;1;1;14
392012962SS;S;2015;11;6;11/12/2015;111502;W;0;740;5;1;14
392012962SS;S;2015;12;6;14/01/2016;121502;W;0;31;1;1;14
398012968MM;M;2015;1;6;03/02/2015;11502;T;48;74;1;1;12
398012968MM;M;2015;2;6;05/03/2015;21502;T;58;42;1;1;12
398012968MM;M;2015;3;6;07/04/2015;31502;T;83;118;1;1;12
398012968MM;M;2015;4;6;06/05/2015;41502;T;54;64;1;1;12
398012968MM;M;2015;5;6;10/06/2015;51502;T;46;53;1;1;12
398012968MM;M;2015;6;6;08/07/2015;61502;T;41;81;1;1;12
398012968MM;M;2015;7;6;03/08/2015;71502;T;49;48;1;1;12
398012968MM;M;2015;8;6;07/09/2015;81502;T;79;39;1;1;12
398012968MM;M;2015;9;6;07/10/2015;91502;T;72;35;1;1;12
398012968MM;M;2015;10;6;05/11/2015;101502;T;158;45;1;1;12
398012968MM;M;2015;11;6;03/12/2015;111502;T;61;46;1;1;12
398012968MM;M;2015;12;6;05/01/2016;121502;T;56;43;1;1;12
390012970SS;S;2015;1;6;09/02/2015;11502;W;0;144;1;0;12
390012970SS;S;2015;2;6;04/03/2015;21502;W;0;4;1;0;12
390012970SS;S;2015;3;6;08/04/2015;31502;W;0;6;1;0;12
390012970SS;S;2015;4;6;07/05/2015;41502;W;0;4;1;0;12
390012970SS;S;2015;5;6;02/06/2015;51502;W;0;8;1;0;12
390012970SS;S;2015;6;6;09/07/2015;61502;W;0;4;1;0;12
390012970SS;S;2015;7;6;06/08/2015;71502;W;0;9;1;0;12
